Timestamp,Date,Customer Name,Product,Packing,Quantity,Unit,Total Volume
12/1/2020 19:01:52,12/1/2020,Empire fasteners Derra Bassi,Gem Phos 300,50,14,LTRS,700
12/2/2020 14:18:41,12/2/2020,Gupta steel,Gem Phos 300,50,20,LTRS,1000
12/2/2020 14:21:09,12/2/2020,bansal wire inds Ghz,Gem Phos 333E,20,100,LTRS,2000
12/2/2020 14:23:54,12/2/2020,Bansal wire Inds Ghz,Gem Phos 300,35,65,LTRS,2275
12/2/2020 16:00:47,12/2/2020,Aarti steels,Gem Phos 330 +,50,20,LTRS,1000
12/2/2020 16:05:50,12/2/2020,Aarti steels,Gem Phos 333 A+,50,20,LTRS,1000
12/2/2020 16:16:29,12/2/2020,AARTI STEEL,Gem Phos 330 +,50,20,LTRS,1000
12/3/2020 13:25:34,12/3/2020,Aradhya Steel,Gem Phos 330,1000,3,LTRS,3000
12/3/2020 13:26:22,12/3/2020,Aradhya Steel,Gem Phos 333 A+,1000,3,LTRS,3000
12/3/2020 13:27:03,12/3/2020,Aradhya Steel,Gem Phos 333 E+,1000,2,LTRS,2000
12/3/2020 13:27:45,12/3/2020,J.S. Industries,Gem Phos 333,1000,3,LTRS,3000
12/3/2020 13:28:45,12/3/2020,B.D.Wire,Gem Phos 333,1000,1,LTRS,1000
12/3/2020 13:29:27,12/3/2020,B.D.Wire,Gem Phos 333,50,11,LTRS,550
12/3/2020 13:30:18,12/3/2020,Mahajan Engg,Gem Phos 300,1000,5,LTRS,5000
12/3/2020 13:31:00,12/3/2020,Mahajan Engg,Accelerator,50,10,KGS,500
12/3/2020 13:32:29,12/3/2020,Usha Martin Hspr,Gem Phos 333,1000,2,LTRS,2000
12/3/2020 13:33:18,12/3/2020,Joneja Bright,Gem Phos 330,50,40,LTRS,2000
12/4/2020 15:40:17,12/4/2020,USHA MARTIN (HSP),Gem Phos 333,1000,2,LTRS,2000
12/5/2020 8:45:14,12/5/2020,Aarti,Gem Phos 333,30,200,KGS,6000
12/7/2020 12:06:46,12/7/2020,SR STEEL,Gem Phos 300,1000,1,LTRS,1000
12/7/2020 13:05:11,12/7/2020,SR STEEL,Gem Phos 300,1000,1,LTRS,1000
12/7/2020 13:05:48,12/7/2020,JS IND,Gem Phos 333,1000,1,LTRS,1000
12/7/2020 13:11:50,12/7/2020,NATIONAL WIRE,Gem Phos 300,50,20,LTRS,1000
12/7/2020 13:12:48,12/7/2020,NATIONAL WIRE,Gem Phos 300,50,3,KGS,150
12/7/2020 15:24:51,12/7/2020,JS IND,Gem Phos 333,1000,1,LTRS,1000
12/7/2020 15:28:06,12/7/2020,NATIONAL WIRE,Accelerator,50,3,KGS,150
12/7/2020 17:25:41,12/7/2020,JONEJA BRIGHT,Gem Phos 330,50,40,LTRS,2000
12/9/2020 9:06:59,12/9/2020,DP WIRE,Gem Phos 300,1000,5,LTRS,5000
12/9/2020 9:10:12,12/9/2020,DP WIRE,Gem Activator 35,35,2,KGS,70
12/9/2020 9:10:51,12/9/2020,MAHAJAN ENGG,Gem Phos 300,1000,2,LTRS,2000
12/9/2020 9:11:48,12/9/2020,MAHAJAN ENGG,Accelerator,50,4,KGS,200
12/9/2020 9:13:43,12/9/2020,MAHAJAN ENGG,Inhibitor S,40,5,KGS,200
12/9/2020 9:14:21,12/9/2020,RAVINDERA ALLOYS,Gem Phos 300,1000,2,LTRS,2000
12/9/2020 9:15:06,12/9/2020,RAVINDERA ALLOYS,Inhibitor H,40,5,KGS,200
12/9/2020 9:15:51,12/9/2020,ROHIT STEELS,Gem Phos 300,1000,1,LTRS,1000
12/9/2020 9:16:34,12/9/2020,ROHIT STEELS,Accelerator,50,3,KGS,150
12/9/2020 9:17:14,12/9/2020,ROHIT STEELS,Gem Activator 35,35,1,KGS,35
12/9/2020 9:18:36,12/8/2020,STEEL SERVICES,Gem Phos 330,50,40,LTRS,2000
12/9/2020 9:20:04,12/8/2020,AARTI STEEL,Gem Phos 300+,1000,1,LTRS,1000
12/9/2020 11:29:15,12/9/2020,Mahajan engg,Gem Phos 300,1000,2,LTRS,2000
12/9/2020 11:30:09,12/9/2020,Mahajan engg,Accelerator,50,1,KGS,50
12/9/2020 11:30:48,12/9/2020,Mahajan engg,Inhibitor S,40,5,KGS,200
12/9/2020 11:43:11,12/9/2020,Ravindera alloys,Gem Phos 300,1000,2,LTRS,2000
12/9/2020 11:43:49,12/9/2020,Ravindera alloys,Inhibitor H,40,5,KGS,200
12/9/2020 14:57:30,12/10/2020,AARTI STEELS LTD,Gem Phos 300+,50,20,LTRS,1000
12/9/2020 14:58:15,12/10/2020,AARTI STEELS LTD,Gem Phos 333 A+,50,10,LTRS,500
12/9/2020 14:58:41,12/9/2020,ACME STEEL,Gem Phos 300,1000,1,LTRS,1000
12/9/2020 14:58:58,12/10/2020,AARTI STEELS LTD,Gem Phos 333 E+,50,10,LTRS,500
12/9/2020 15:00:05,12/10/2020,BANSAL STEEL & POWER BAHADURGARH,Gem Phos 300,1000,3,LTRS,3000
12/9/2020 15:00:53,12/10/2020,USHA MARTIN HSPR,Gem Phos 333,1000,2,LTRS,2000
12/9/2020 15:02:12,12/10/2020,DEEPAK FASTENERS,Gem Phos 300,1000,2,LTRS,2000
12/9/2020 15:02:58,12/10/2020,KANGAROO INDUSTRIES,Gem Phos 333A,50,8,LTRS,400
12/9/2020 15:05:00,12/10/2020,BANSAL STEEL UDYOG,Gem Phos 300,50,20,LTRS,1000
12/9/2020 15:05:39,12/10/2020,BANSAL STEEL UDYOG,Accelerator,50,2,KGS,100
12/11/2020 9:59:28,12/11/2020,HANUMANT WIRE,Gem Phos 330,200,30,LTRS,6000
12/11/2020 10:00:03,12/11/2020,HANUMANT WIRE,Gem Phos 330,1000,1,LTRS,1000
12/11/2020 16:05:43,12/11/0020,BAJAJSONS NASIK,SpectraLink,30,1,LTRS,30
12/11/2020 16:11:48,12/11/0020,BAJAJSONS NASIK,Rusto Gem,50,6,LTRS,300
12/11/2020 16:12:35,12/11/0020,EATON,SpectraLink,30,1,LTRS,30
12/14/2020 9:44:01,12/14/2020,Usha Martin Hspr.,Gem Phos 333,1000,2,LTRS,2000
12/14/2020 9:44:40,12/14/2020,RKS Steel.,Gem Phos 300,1000,5,LTRS,5000
12/14/2020 9:46:48,12/14/2020,Bansal wire Ghaziabad,Gem Phos 300,30,234,LTRS,7020
12/14/2020 9:48:09,12/14/2020,Bansal wire Ghaziabad,Gem Phos 333E,30,134,LTRS,4020
12/14/2020 9:49:22,12/14/2020,Empire Fasteners Sahibabad,Gem Phos 300,30,24,LTRS,720
12/14/2020 10:01:03,12/12/2020,JAGDAMBEY WIRE PRODUCTS,Gem Phos 300,30,10,LTRS,300
12/14/2020 10:58:05,12/14/2020,Usha Martin Hspr.,Dry Lube 27,50,12,KGS,600
12/14/2020 10:58:33,12/14/2020,Usha Martin Hspr.,Dry Lube 30,50,7,KGS,350
12/14/2020 12:08:07,12/14/2020,MAHAJAN ENGG.WORKS,Gem Phos 300,1000,1,LTRS,1000
12/15/2020 10:11:37,12/15/2020,Empire Fasteners,Gem Phos 300,30,24,LTRS,720
12/15/2020 10:12:36,12/15/2020,Aarti Steels Ltd,Gem Phos 300+,50,20,LTRS,1000
12/15/2020 10:13:18,12/15/2020,Aarti Steels Ltd,Gem Phos 333 A+,50,10,LTRS,500
12/15/2020 10:14:24,12/15/2020,Aarti Steels Ltd,Gem Phos 333 E+,50,10,LTRS,500
12/15/2020 10:15:06,12/15/2020,Aarti Steels Ltd,Gem Activator 35,35,1,LTRS,35
12/15/2020 10:15:55,12/15/2020,Vishnu Wire,Gem Phos 300,50,10,LTRS,500